"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
19,6481,20.49,1.0,Omar BROWN,21 JUN 1982,JAM,1sf1,Melbourne (AUS),23 MAR 2006,1144
20,6481,20.49,0.7,Ainsley WAUGH,17 SEP 1981,JAM,1,"Mangueirão, Belém (BRA)",21 MAY 2006,1144
21,6481,20.49,-0.2,Rubin WILLIAMS,09 JUL 1983,USA,3,"Sacramento, CA (USA)",10 JUN 2006,1145
22,6481,20.49,-0.7,Wallace SPEARMON,24 DEC 1984,USA,3sf2,"Indianapolis, IN (USA)",25 JUN 2006,1148
23,6481,20.49,0.3,Omar BROWN,21 JUN 1982,JAM,1,Thessaloniki (GRE),24 JUL 2006,1144
24,6481,20.49,-0.2,Usain BOLT,21 AUG 1986,JAM,1,Zagreb (CRO),31 AUG 2006,1145
25,6481,20.49,1.3,Kerron CLEMENT,31 OCT 1985,USA,1,"Coral Gables, FL (USA)",14 APR 2007,1144
26,6481,20.49,1.0,Evander WELLS,07 DEC 1987,USA,1,"Columbia, MO (USA)",26 MAY 2007,1144
27,6481,20.49,1.3,Darvis PATTON,04 DEC 1977,USA,5,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1144
28,6481,20.49,-0.9,Chris BERRIAN,17 APR 1983,USA,1,"Los Angeles, CA (USA)",03 JUN 2007,1149
29,6481,20.49,-0.1,Rodney MARTIN,22 DEC 1982,USA,4,"Crystal Palace, London (GBR)",03 AUG 2007,1144
30,6481,20.49,0.2,Joshua J. JOHNSON,10 MAY 1976,USA,4,"Letzigrund, Zürich (SUI)",07 SEP 2007,1144
31,6481,20.49,0.7,Johan WISSMAN,02 NOV 1982,SWE,5,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1144
32,6481,20.49,0.8,Alex NELSON,21 MAR 1988,GBR,1f1,Eton (GBR),05 JUL 2008,1144
33,6481,20.49,1.1,Brian DZINGAI,29 APR 1981,ZIM,1,Heusden-Zolder (BEL),20 JUL 2008,1144
34,6481,20.49,-0.4,Marlon DEVONISH,01 JUN 1976,GBR,1h3,"National Stadium, Beijing (CHN)",18 AUG 2008,1146
35,6481,20.49,1.3,Darvis PATTON,04 DEC 1977,USA,1,"National Stadium, Kingston (JAM)",02 MAY 2009,1144
36,6481,20.49,0.4,Marcus ROWLAND,11 MAR 1990,USA,2,"Louisville, KY (USA)",30 MAY 2009,1144
37,6481,20.49,-0.2,Joel REDHEAD,03 JUL 1986,GRN,2sf2,"Fayetteville, AR (USA)",11 JUN 2009,1145
38,6481,20.49,1.3,Nickel ASHMEADE,07 APR 1990,JAM,1,Spanish Town (JAM),14 JUN 2009,1144
39,6481,20.49,-0.1,Daniel Alfonso GRUESO,30 JUL 1985,COL,1,Mayagüez (PUR),17 APR 2010,1144
40,6481,20.49,0.3,Justin WALKER,30 NOV 1990,USA,1,"Arlington, TX (USA)",16 MAY 2010,1144
41,6481,20.49,1.0,David ALERTE,18 SEP 1984,FRA,3,"Stade Raymond Petit, Tomblaine (FRA)",25 JUN 2010,1144
42,6481,20.49,0.0,Rasheed DWYER,29 JAN 1989,JAM,2,Mayagüez (PUR),27 JUL 2010,1144
43,6481,20.49,0.1,Lansford Winston SPENCE,15 DEC 1982,JAM,2,New Delhi (IND),10 OCT 2010,1144
44,6481,20.49,1.9,Justin GATLIN,10 FEB 1982,USA,1f1,Basseterre (SKN),09 APR 2011,1144
45,6481,20.49,1.1,Marvin ANDERSON,12 MAY 1982,JAM,2,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1144
46,6481,20.49,1.9,Ameer WEBB,19 MAR 1991,USA,2f1,"Walnut, CA (USA)",04 JUN 2011,1144
47,6481,20.49,0.7,Mario FORSYTHE,30 OCT 1985,JAM,3,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,1144
48,6481,20.49,,Shinji TAKAHIRA,18 JUL 1984,JPN,1,Kumagaya (JPN),11 JUN 2011,1144
49,6481,20.49,-0.8,Darvis PATTON,04 DEC 1977,USA,4,Reims (FRA),05 JUL 2011,1148
50,6481,20.49,0.2,Alex QUIÑÓNEZ,11 AUG 1989,ECU,3sf1,Guadalajara (MEX),26 OCT 2011,1144
51,6481,20.49,1.4,Isiah YOUNG,05 JAN 1990,USA,1f1,"Oxford, MS (USA)",31 MAR 2012,1144
52,6481,20.49,0.4,Troy FAULKNER,1989,USA,1,"San Angelo, TX (USA)",05 APR 2012,1144
53,6481,20.49,1.0,Tyreek HILL,01 MAR 1994,USA,1h3,"Orlando, FL (USA)",26 MAY 2012,1144
54,6481,20.49,-2.1,Churandy MARTINA,03 JUL 1984,NED,2,"Hayward Field, Eugene, OR (USA)",02 JUN 2012,1156
55,6481,20.49,0.4,Harry ADAMS,27 NOV 1989,USA,1h1,"Des Moines, IA (USA)",07 JUN 2012,1144
56,6481,20.49,-1.8,Warren WEIR,31 OCT 1989,JAM,1,"Stadion Orzeł, Warszawa (POL)",19 AUG 2012,1154
57,6481,20.49,0.0,Mosito LEHATA,08 APR 1989,LES,1,Bambous (MRI),18 APR 2013,1144
58,6481,20.49,1.6,Jeremy DODSON,30 AUG 1987,USA,1,"Walnut, CA (USA)",20 APR 2013,1144
59,6481,20.49,2.0,Edward HADNOT,07 MAR 1992,USA,1,"Arlington, TX (USA)",11 MAY 2013,1144
60,6481,20.49,1.1,Jerrell HANCOCK,06 JUL 1989,USA,1,"Sioux Falls, SD (USA)",11 MAY 2013,1144
61,6481,20.49,1.6,Michael MATHIEU,24 JUN 1984,BAH,3,"Mangueirão, Belém (BRA)",12 MAY 2013,1144
62,6481,20.49,0.9,Jermaine BROWN,04 JUL 1991,JAM,6,Kingston (JAM),23 JUN 2013,1144
63,6481,20.49,-0.3,Pavel MASLÁK,21 FEB 1991,CZE,3,"Ratinan Stadion, Tampere (FIN)",13 JUL 2013,1145
64,6481,20.49,0.3,Lykourgos-Stefanos TSAKONAS,08 MAR 1990,GRE,2f2,Luzern (SUI),17 JUL 2013,1144
65,6481,20.49,1.1,Karol ZALEWSKI,07 AUG 1993,POL,1,Toruń (POL),21 JUL 2013,1144
66,6481,20.49,0.2,Churandy MARTINA,03 JUL 1984,NED,6,"Olympic Stadium, London (GBR)",26 JUL 2013,1144
67,6481,20.49,-0.1,Yohan BLAKE,26 DEC 1989,JAM,1f4,Kingston (JAM),22 MAR 2014,1144
68,6481,20.49,-0.4,Diondre BATSON,13 JUL 1992,USA,1f1,"Tuscaloosa, AL (USA)",05 APR 2014,1146
69,6481,20.49,1.1,Akani SIMBINE,21 SEP 1993,RSA,2,Pretoria (RSA),26 APR 2014,1144
70,6481,20.49,-0.2,Kirk WILSON,27 MAY 1991,USA,1,"Rome, GA (USA)",03 MAY 2014,1145
71,6481,20.49,0.4,Shota HARA,18 JUL 1992,JPN,1h5,Fukuroi (JPN),03 MAY 2014,1144
72,6481,20.49,1.7,Nery BRENES,25 SEP 1985,CRC,1,San José (CRC),11 MAY 2014,1144
73,6481,20.49,1.0,Everett WALKER,03 OCT 1990,USA,1sf3,"Fayetteville, AR (USA)",31 MAY 2014,1144
74,6481,20.49,0.9,Julian FORTE,07 JAN 1993,JAM,4,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1144
75,6481,20.49,0.3,Sean MCLEAN,23 MAR 1992,USA,2f2,Tortola (IVB),07 JUN 2014,1144
76,6481,20.49,1.0,Sean MCLEAN,23 MAR 1992,USA,1h3,"Sacramento, CA (USA)",28 JUN 2014,1144
77,6481,20.49,0.3,Daniel BAILEY,09 SEP 1986,ANT,3sf1,"Hampden Park, Glasgow (GBR)",31 JUL 2014,1144
78,6481,20.49,-1.5,Serhiy SMELYK,19 APR 1987,UKR,1h1,"Letzigrund, Zürich (SUI)",14 AUG 2014,1153
79,6481,20.49,0.2,Isaac MAKWALA,24 SEP 1985,BOT,6,"Le Grande Stade, Marrakesh (MAR)",14 SEP 2014,1144
80,6481,20.49,0.0,Kenji FUJIMITSU,01 MAY 1986,JPN,1f2,Yamaguchi (JPN),11 OCT 2014,1144
81,6481,20.49,1.9,James ELLINGTON,06 SEP 1985,GBR,3f1,"Clermont, FL (USA)",18 APR 2015,1144
82,6481,20.49,1.6,Robin EREWA,24 JUN 1991,GER,1f2,"Clermont, FL (USA)",16 MAY 2015,1144
83,6481,20.49,0.6,Kevin HARRIS,04 DEC 1995,USA,2h1,"Ames, IA (USA)",16 MAY 2015,1144
84,6481,20.49,0.2,Roberto SKYERS,12 NOV 1991,CUB,1,Guelph (CAN),30 MAY 2015,1144
85,6481,20.49,0.2,Julian REUS,29 APR 1988,GER,1f2,Zeulenroda (GER),10 JUL 2015,1144
86,6481,20.49,1.1,Karol ZALEWSKI,07 AUG 1993,POL,1,"Kadrioru staadion, Tallinn (EST)",11 JUL 2015,1144
87,6481,20.49,-0.2,Tega ODELE,06 DEC 1995,NGR,6h2,"National Stadium, Beijing (CHN)",25 AUG 2015,1145
88,6481,20.49,1.1,Shota IIZUKA,25 JUN 1991,JPN,1f1,"Auburn, AL (USA)",09 APR 2016,1144
89,6481,20.49,0.7,Stirley JONES,13 DEC 1984,USA,2f1,"La Jolla, CA (USA)",23 APR 2016,1144
90,6481,20.49,-1.3,Yancarlos MARTÍNEZ,08 AUG 1992,DOM,1f1,St-Martin (FRA),07 MAY 2016,1151
91,6481,20.49,0.3,Arthur DELANEY,23 JUN 1993,USA,3,"Mestský Stadion, Ostrava (CZE)",20 MAY 2016,1144
92,6481,20.49,1.0,Tevin HESTER,10 JAN 1994,USA,2h2,"Jacksonville, FL (USA)",27 MAY 2016,1144
93,6481,20.49,0.1,Méba Mickaël ZEZE,19 MAY 1994,FRA,1,Tunis (TUN),05 JUN 2016,1144
94,6481,20.49,-0.1,Kei TAKASE,25 NOV 1988,JPN,3h1,Nagoya (JPN),24 JUN 2016,1144
95,6481,20.49,-0.1,Kenji FUJIMITSU,01 MAY 1986,JPN,1h2,Nagoya (JPN),24 JUN 2016,1144
96,6481,20.49,-0.9,Ihor BODROV,09 JUL 1987,UKR,1f4,Kyiv (UKR),24 JUN 2016,1149
97,6481,20.49,0.3,Emmanuel DASOR,14 SEP 1995,GHA,1,Cape Coast (GHA),08 JUL 2016,1144
98,6481,20.49,0.3,Shota IIZUKA,25 JUN 1991,JPN,4h3,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1144
99,6481,20.49,0.3,Emmanuel MATADI,15 APR 1991,LBR,5h3,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1144
0,6481,20.49,1.0,Antoine ADAMS,31 AUG 1988,SKN,5h10,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1144
1,6481,20.49,0.4,Chadic HINDS,11 AUG 1992,JAM,1,Kingston (JAM),08 APR 2017,1144
2,6481,20.49,0.4,Oshane BAILEY,08 SEP 1989,JAM,2,Kingston (JAM),08 APR 2017,1144
3,6481,20.49,0.7,Gift LEOTLELA,12 MAY 1998,RSA,2sf2,Potchefstroom (RSA),22 APR 2017,1144
4,6481,20.49,0.8,Tremayne ACY,21 JAN 1995,USA,1f2,"Baton Rouge, LA (USA)",22 APR 2017,1144
5,6481,20.49,0.3,Sean MCLEAN,23 MAR 1992,USA,1f1,Fukuroi (JPN),03 MAY 2017,1144
6,6481,20.49,0.0,Tatenda TSUMBA,12 NOV 1991,ZIM,1,"Provo, UT (USA)",13 MAY 2017,1144
7,6481,20.49,-0.5,Malik MOFFETT,11 APR 1994,USA,5sf1,"Lexington, KY (USA)",27 MAY 2017,1147
8,6481,20.49,-0.4,Josh DAVIS,13 OCT 1995,USA,5sf2,"Lexington, KY (USA)",27 MAY 2017,1146
9,6481,20.49,0.4,Dedric DUKES,04 FEB 1992,USA,2h4,"Sacramento, CA (USA)",24 JUN 2017,1144
10,6481,20.49,-0.2,Kenji FUJIMITSU,01 MAY 1986,JPN,1h1,Osaka (JPN),24 JUN 2017,1145
11,6481,20.49,-0.7,Rasheed DWYER,29 JAN 1989,JAM,7,"Olympic Stadium, London (GBR)",09 JUL 2017,1148
12,6481,20.49,1.9,Ahmed ALI,15 NOV 1993,SUD,1,Radés (TUN),18 JUL 2017,1144
13,6481,20.49,-0.6,Rasheed DWYER,29 JAN 1989,JAM,3h2,"Olympic Stadium, London (GBR)",07 AUG 2017,1147
14,6481,20.49,0.7,Wilfried KOFFI HUA,12 OCT 1987,CIV,4h4,"Olympic Stadium, London (GBR)",07 AUG 2017,1144
15,6481,20.49,2.0,Omar MCLEOD,25 APR 1994,JAM,2f1,"Gainesville, FL (USA)",29 MAR 2018,1144
16,6481,20.49,0.3,Derick SILVA,23 APR 1998,BRA,2f1,"Coral Gables, FL (USA)",07 APR 2018,1144
17,6481,20.49,0.8,Chederick VAN WYK,18 FEB 1995,RSA,1,Sasolburg (RSA),29 APR 2018,1144
18,6481,20.49,0.8,Ahmed ALI,15 NOV 1993,SUD,3f1,"Clermont, FL (USA)",12 MAY 2018,1144
19,6481,20.49,0.0,Christopher TAYLOR,01 OCT 1999,JAM,1,"National Stadium, Kingston (JAM)",19 MAY 2018,1144
20,6481,20.49,-0.7,Anthony SCHWARTZ,05 SEP 2000,USA,1,"Albuquerque, NM (USA)",02 JUN 2018,1148
21,6481,20.49,1.5,Rodney ROWE,17 MAR 1997,USA,1sf3,"Eugene, OR (USA)",06 JUN 2018,1144
22,6481,20.49,-1.0,Vitor Hugo DOS SANTOS,01 FEB 1996,BRA,2h1,Cochabamba (BOL),07 JUN 2018,1150
23,6481,20.49,1.5,Justin WALKER,30 NOV 1990,USA,2f1,"Montverde, FL (USA)",09 JUN 2018,1144
24,6481,20.49,-0.1,Lykourgos-Stefanos TSAKONAS,08 MAR 1990,GRE,1h2,"Olympiastadion, Berlin (GER)",08 AUG 2018,1144
25,6481,20.49,0.3,Méba Mickaël ZEZE,19 MAY 1994,FRA,4sf2,"Olympiastadion, Berlin (GER)",08 AUG 2018,1144
26,6481,20.49,1.9,Derick SILVA,23 APR 1998,BRA,3,Bragança Paulista (BRA),16 SEP 2018,1144
27,6481,20.49,1.2,Ngoni MAKUSHA,29 JUN 1994,ZIM,1sf1,Pretoria (RSA),15 MAR 2019,1144
28,6481,20.49,1.1,Keitavious WALTER,16 APR 1996,USA,2f1,"Tuscaloosa, AL (USA)",12 APR 2019,1144
29,6481,20.49,1.9,Delano WILLIAMS,23 DEC 1993,GBR,2f2,St. George's (GRN),13 APR 2019,1144
30,6481,20.49,0.3,Joseph Paul AMOAH,12 JAN 1997,GHA,1h4,"Jacksonville, FL (USA)",24 MAY 2019,1144
31,6481,20.49,1.7,Matthew LIKELY,12 JAN 1997,USA,4qf1,"Jacksonville, FL (USA)",25 MAY 2019,1144
32,6481,20.49,1.4,Akeem SIRLEAF,10 MAR 1997,LBR,4qf2,"Jacksonville, FL (USA)",25 MAY 2019,1144
33,6481,20.49,0.6,Kahmari MONTGOMERY,16 AUG 1997,USA,3sf2,"Austin, TX (USA)",05 JUN 2019,1144
34,6481,20.49,0.6,Samson COLEBROOKE,10 MAY 1997,BAH,3sf2,"Austin, TX (USA)",05 JUN 2019,1144
35,6481,20.49,-0.4,Femi OGUNODE,15 MAY 1991,QAT,1f3,Köln (GER),30 JUN 2019,1146
36,6481,20.49,1.1,Kyle GREAUX,26 APR 1988,TTO,3,Padova (ITA),16 JUL 2019,1144
37,6481,20.49,-0.7,Kyree KING,09 JUL 1994,USA,5,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1148
38,6481,20.49,-1.4,Remontay MCCLAIN,21 SEP 1992,USA,2sf2,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1152
39,6481,20.49,1.9,Pol RETAMAL,16 MAR 1999,ESP,1f1,Santa Coloma de Gramenet (ESP),17 AUG 2019,1144
40,6481,20.49,0.0,Sydney SIAME,07 OCT 1997,ZAM,1f4,"Levy Mwanawasa Stadion, Ndola (ZAM)",22 FEB 2020,1144
41,6481,20.49,2.0,Aldrich BAILEY JR,06 FEB 1994,USA,1f1,"Mike A. Myers Stadium, Austin, TX (USA)",06 MAR 2021,1144
42,6481,20.49,1.4,Deon LENDORE,28 OCT 1992,TTO,f1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",19 MAR 2021,1144
43,6481,20.49,0.1,Brandon CARNES,06 MAR 1995,USA,3f1,"Mike A. Myers Stadium, Austin, TX (USA)",30 APR 2021,1144
44,6481,20.49,1.9,Jo'Vaughn MARTIN,,USA,1pr6,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",26 MAY 2021,1144
45,6481,20.49,0.4,Justin GATLIN,10 FEB 1982,USA,5,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1144
46,6481,20.49,1.9,Felipe BARDI,08 OCT 1998,BRA,1,"Estadio Alberto Spencer Herrera, Guayaquil (ECU)",31 MAY 2021,1144
47,6481,20.49,-0.7,Brendon RODNEY,09 APR 1992,CAN,1f1,"National Stadium, Kingston (JAM)",05 JUN 2021,1148
48,6481,20.49,0.1,Clarence MUNYAI,20 FEB 1998,RSA,2f1,"Centre sportif Bout-du-Monde, Genève (SUI)",12 JUN 2021,1144
49,6481,20.49,0.8,Jordan BOOKER,,USA,2h3,"Hayward Field, Eugene, OR (USA)",25 JUN 2021,1144
50,6481,20.49,1.1,Brendon RODNEY,09 APR 1992,CAN,2,"Complexe Sportif Claude-Robillard, Montréal (CAN)",26 JUN 2021,1144
51,6481,20.49,1.8,Jazeel MURPHY,27 FEB 1994,JAM,4,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1144
52,6481,20.49,0.4,Clarence MUNYAI,20 FEB 1998,RSA,4h7,"National Stadium, Tokyo (JPN)",03 AUG 2021,1144
53,6481,20.49,-0.4,Clarence MUNYAI,20 FEB 1998,RSA,6sf2,"National Stadium, Tokyo (JPN)",03 AUG 2021,1146
54,6481,20.49,-0.2,Simon HANSEN,30 JUN 1998,DEN,1f1,"Ceres Park, Århus (DEN)",05 SEP 2021,1145
55,6481,20.49,0.5,William REAIS,04 MAY 1999,SUI,8,"Letzigrund, Zürich (SUI)",09 SEP 2021,1144
56,6481,20.49,1.7,Royal BURRIS,2001,USA,1f1,"Bate Foundation T&F Facility, Greenville, NC (USA)",02 APR 2022,1144
57,6481,20.49,-0.2,Robert GREGORY,12 DEC 2001,USA,1f3,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",09 APR 2022,1145
58,6481,20.49,1.8,Ryan MULHOLLAND,,USA,1f8,"Hilmer Lodge Stadium, Walnut, CA (USA)",15 APR 2022,1144
59,6481,20.49,-0.2,Eric HARRISON JR.,18 FEB 1999,TTO,1f1,"Cregger Track, Columbia, SC (USA)",16 APR 2022,1145
60,6481,20.49,-0.1,Elija GODWIN,01 JUL 1999,USA,1f1,"Spec Towns Track, Athens, GA (USA)",29 APR 2022,1144
61,6481,20.49,0.5,Joshua HARTMANN,09 JUN 1999,GER,1f3,"National Training Center, Clermont, FL (USA)",01 MAY 2022,1144
62,6481,20.49,1.7,Daniel STOKES,20 AUG 1997,USA,4,"Dick Vert Stadium, High Point, NC (USA)",11 MAY 2022,1144
63,6481,20.49,0.1,Kasaun JAMES,22 DEC 1997,USA,2h2,"John McDonnell Field, Fayetteville, AR (USA)",27 MAY 2022,1144
64,6481,20.49,1.1,Joseph Paul AMOAH,12 JAN 1997,GHA,3,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1144
65,6481,20.49,-1.0,Renan CORREA,15 MAR 2004,BRA,1h7,Cuiaba (BRA),17 SEP 2022,1150
66,6481,20.49,1.2,Lucas RODRIGUES DA SILVA,05 JUL 2001,BRA,1h2,Cascavel (BRA),30 SEP 2022,1144
67,6481,20.49,1.8,Cheickna TRAORE,21 OCT 2000,USA,1f1,"UMiami Cobb Stadium, Coral Gables, FL (USA)",18 MAR 2023,1144
68,6481,20.49,1.8,Devin AUGUSTINE,02 DEC 2003,TTO,1f7,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",24 MAR 2023,1144
69,6481,20.49,-0.5,Jacory PATTERSON,02 FEB 2000,USA,3f1,"Percy Beard Track, Gainesville, FL (USA)",31 MAR 2023,1147
70,6481,20.49,0.1,Armand VAN DER WALT,04 JAN 2004,RSA,2,"Bestmed Tuks Stadium, Pretoria (RSA)",12 APR 2023,1144
71,6481,20.49,1.8,Shaun MASWANGANYI,01 FEB 2001,RSA,5f3,"Hilmer Lodge Stadium, Walnut, CA (USA)",15 APR 2023,1144
72,6481,20.49,1.0,Zhenye XIE,17 AUG 1993,CHN,4f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",22 APR 2023,1144
73,6481,20.49,0.5,Jeremiah CURRY,07 JAN 2000,USA,4f1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",29 APR 2023,1144
74,6481,20.49,1.1,Austin KRESLEY,30 DEC 2001,USA,1h2,"Billy Hayes T& F Complex, Bloomington, IN (USA)",12 MAY 2023,1144
75,6481,20.49,1.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h3,"Hilmer Lodge Stadium, Walnut, CA (USA)",12 MAY 2023,1144
76,6481,20.49,0.9,Mouhamadou FALL,25 FEB 1992,FRA,5,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1144
77,6481,20.49,0.8,Adam CLAYTON,26 SEP 2000,GBR,3h2,"John Jacobs Track Complex, Norman, OK (USA)",13 MAY 2023,1144
78,6481,20.49,0.3,Nadale BUNTIN,03 APR 2000,SKN,4,"Billy Hayes T& F Complex, Bloomington, IN (USA)",14 MAY 2023,1144
79,6481,20.49,1.3,Kamden JACKSON,,USA,2pr2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",24 MAY 2023,1144
80,6481,20.49,1.1,Evan MILLER,29 AUG 2000,USA,2pr6,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",24 MAY 2023,1144
81,6481,20.49,0.4,Carlon HOSTEN,07 APR 1999,TTO,2h1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1144
82,6481,20.49,0.4,Shoto UNO,17 MAY 2001,JPN,1h2,"Yanmar Stadium Nagai, Osaka (JPN)",01 JUN 2023,1144
83,6481,20.49,0.7,Albert KOMAŃSKI,07 FEB 2000,POL,3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1144
84,6481,20.49,-1.9,Antonio WATSON,11 SEP 2001,JAM,1f1,"Jamaica College Ashenheim Stadium, Kingston (JAM)",24 JUN 2023,1155
85,6481,20.49,0.1,Zhenye XIE,17 AUG 1993,CHN,1,"Olympic Center, Shenyang (CHN)",29 JUN 2023,1144
86,6787,20.5,0.0,Edwin ROBERTS,12 AUG 1941,TTO,2qf3,"Estadio Olímpico, Ciudad de México (MEX)",15 OCT 1968,1143
87,6787,20.5,0.4,Philippe CLERC,24 DEC 1946,SUI,1,Zürich (SUI),04 JUL 1969,1143
88,6787,20.5,,Ray BROOKS,24 JAN 1956,USA,1h2,"Austin, TX (USA)",12 MAY 1978,1143
89,6787,20.5,1.6,Fred TAYLOR,05 NOV 1957,USA,3,Air Force Academy (USA),30 JUL 1978,1143
90,6787,20.5,1.4,Don QUARRIE,25 FEB 1951,JAM,2,Kingston (JAM),11 MAY 1979,1143
91,6787,20.5,,Ray BROOKS,24 JAN 1956,USA,1h2,"Austin, TX (USA)",12 MAY 1979,1143
92,6787,20.5,1.5,Marian WORONIN,13 AUG 1956,POL,2,Berlin (GER),17 AUG 1979,1143
93,6787,20.5,0.0,Leszek DUNECKI,02 OCT 1956,POL,2,"Olympic Stadium, Montréal (CAN)",26 AUG 1979,1143
94,6787,20.5,2.0,James MALLARD,29 NOV 1957,USA,1,"Des Moines, IA (USA)",25 APR 1980,1143
95,6787,20.5,0.9,Bernhard HOFF,10 JAN 1959,GDR,5,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1143
96,6787,20.5,0.5,Dwayne EVANS,13 OCT 1958,USA,1,"Tempe, AZ (USA)",07 MAR 1981,1143
97,6787,20.5,0.5,Jeff PHILLIPS,16 MAY 1957,USA,1,Leningrad (URS),11 JUL 1981,1143
98,6787,20.5,0.4,Dwayne EVANS,13 OCT 1958,USA,1,Lausanne (SUI),14 JUL 1981,1143
99,6787,20.5,0.7,Bernie JACKSON,22 OCT 1961,USA,1f3,"Walnut, CA (USA)",23 APR 1983,1143
0,6787,20.5,0.9,Stanley BLALOCK,18 MAR 1964,USA,2,"Des Moines, IA (USA)",30 APR 1983,1143
1,6787,20.5,0.5,Bernie JACKSON,22 OCT 1961,USA,2,San José (USA),28 MAY 1983,1143
2,6787,20.5,,Clinton DAVIS,17 AUG 1965,USA,1,"Towson, MD (USA)",16 JUL 1983,1143
3,6787,20.5,1.4,Calvin SMITH,08 JAN 1961,USA,2,Nice (FRA),18 JUL 1983,1143
4,6787,20.5,1.0,Ralf LÜBKE,17 JUN 1965,FRG,2,Schwechat (AUT),28 AUG 1983,1143
5,6787,20.5,0.5,Pietro MENNEA,28 JUN 1952,ITA,1,Como (ITA),18 SEP 1983,1143
6,6787,20.5,1.6,Aubrey JONES,26 DEC 1963,USA,2,"Norman, OK (USA)",14 APR 1984,1143
7,6787,20.5,-0.2,Larry MYRICKS,10 MAR 1956,USA,6,"Los Angeles, CA (USA)",21 JUN 1984,1144
8,6787,20.5,0.2,Marian WORONIN,13 AUG 1956,POL,4,Moskva (URS),18 AUG 1985,1143
9,6787,20.5,1.5,Floyd HEARD,24 MAR 1966,USA,1,"Houston, TX (USA)",24 MAY 1986,1143
10,6787,20.5,0.0,Dwayne EVANS,13 OCT 1958,USA,3,"Knoxville, TN (USA)",24 MAY 1986,1143
11,6787,20.5,1.2,Brady CRAIN,08 AUG 1956,USA,3h3,"Eugene, OR (USA)",19 JUN 1986,1143
12,6787,20.5,1.4,Todd BENNETT,06 JUL 1962,GBR,2,London (GBR),21 JUN 1986,1143
13,6787,20.5,1.7,Ralf LÜBKE,17 JUN 1965,FRG,1,Berlin (GER),13 JUL 1986,1143
14,6787,20.5,0.0,Aleksandr YEVGENYEV,20 JUL 1961,URS,1,Kiev (URS),16 JUL 1986,1143
15,6787,20.5,1.2,Atlee MAHORN,27 OCT 1965,CAN,2f1,Budapest (HUN),11 AUG 1986,1143
16,6787,20.5,0.9,Attila KOVÁCS,02 SEP 1960,HUN,1,Budapest (HUN),13 SEP 1986,1143
17,6787,20.5,-0.5,Vladimir KRYLOV,26 FEB 1964,URS,1,Tashkent (UZB),20 SEP 1986,1146
18,6787,20.5,1.6,Keith STANFORD,01 MAR 1964,USA,1,"Austin, TX (USA)",02 MAY 1987,1143
19,6787,20.5,-0.2,Lee MCRAE,23 JAN 1966,USA,1h4,"Baton Rouge, LA (USA)",03 JUN 1987,1144
20,6787,20.5,,Clive WRIGHT,18 NOV 1965,JAM,1,Kingston (JAM),26 JUN 1987,1143
21,6787,20.5,0.2,Wallace SPEARMON,03 SEP 1962,USA,1,Bern (SUI),08 JUL 1987,1143
22,6787,20.5,-0.4,Quincy WATTS,19 JUN 1970,USA,1,"Provo, UT (USA)",25 JUL 1987,1145
23,6787,20.5,-2.3,Bruno MARIE-ROSE,20 MAY 1965,FRA,1,Annecy (FRA),09 AUG 1987,1156
24,6787,20.5,1.2,Clive WRIGHT,18 NOV 1965,JAM,6sf2,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1143
25,6787,20.5,-1.2,Larry MYRICKS,10 MAR 1956,USA,1,"Tampa, FL (USA)",18 JUN 1988,1150
26,6787,20.5,1.7,Henry THOMAS,10 JUL 1967,USA,4,Villeneuve d'Ascq (FRA),27 JUN 1988,1143
